IDNUMBER,INSTRUCTIONAL_LEVEL,ENROLLMENT_LEVEL,APPROX_ENROLLMENT,APPROX_TOTAL_COMPUTERS,COMPUTERS_PER_STUDENT
10175,Elementary,<300,150,100,0.6666666666666666
10176,High/Other,1000+,1200,750,0.625
10177,Elementary,<300,150,100,0.6666666666666666
10178,Elementary,500-999,750,750,1
10179,Middle,500-999,750,750,1
10180,Middle,500-999,750,350,0.4666666666666667
10181,High/Other,1000+,1200,1200,1
10182,High/Other,500-999,750,750,1
10183,Middle,<300,150,350,2.3333333333333335
10184,High/Other,1000+,1200,350,0.2916666666666667
10185,Middle,1000+,1200,1200,1
10186,High/Other,1000+,1200,1200,1
10187,High/Other,500-999,750,750,1
10188,Elementary,<300,150,100,0.6666666666666666
10189,Elementary,500-999,750,350,0.4666666666666667
10190,Elementary,500-999,750,350,0.4666666666666667
10191,Middle,500-999,750,1200,1.6
10192,Elementary,500-999,750,750,1
10193,Middle,300-499,400,750,1.875
10194,High/Other,<300,150,100,0.6666666666666666
10195,Elementary,500-999,750,750,1
10196,Elementary,500-999,750,100,0.13333333333333333
10197,High/Other,1000+,1200,1200,1
10198,Middle,1000+,1200,1200,1
10199,Middle,500-999,750,750,1
10200,High/Other,1000+,1200,1200,1
10201,Elementary,500-999,750,350,0.4666666666666667
10202,High/Other,300-499,400,750,1.875
10203,Middle,300-499,400,350,0.875
10204,Middle,300-499,400,350,0.875
10205,Elementary,300-499,400,100,0.25
10206,Middle,500-999,750,750,1
10207,Middle,500-999,750,750,1
10208,Elementary,500-999,750,750,1
10209,High/Other,1000+,1200,1200,1
10210,High/Other,1000+,1200,1200,1
10211,Elementary,500-999,750,750,1
10212,Elementary,500-999,750,750,1
10213,Elementary,500-999,750,350,0.4666666666666667
10214,Elementary,<300,150,350,2.3333333333333335
10215,High/Other,500-999,750,100,0.13333333333333333
10216,Elementary,500-999,750,750,1
10217,Elementary,500-999,750,750,1
10218,High/Other,<300,150,100,0.6666666666666666
10219,High/Other,1000+,1200,1200,1
10220,Elementary,500-999,750,750,1
10221,High/Other,1000+,1200,1200,1
10222,High/Other,1000+,1200,1200,1
10223,High/Other,1000+,1200,1200,1
10224,Elementary,300-499,400,350,0.875
10225,High/Other,300-499,400,350,0.875
10226,High/Other,<300,150,350,2.3333333333333335
10227,Elementary,300-499,400,350,0.875
10228,High/Other,<300,150,100,0.6666666666666666
10229,Middle,1000+,1200,750,0.625
10230,Elementary,500-999,750,350,0.4666666666666667
10231,High/Other,500-999,750,750,1
10232,Elementary,500-999,750,750,1
10233,High/Other,1000+,1200,1200,1
10234,Middle,1000+,1200,750,0.625
10235,High/Other,1000+,1200,750,0.625
10236,High/Other,300-499,400,350,0.875
10237,Elementary,300-499,400,350,0.875
10238,High/Other,500-999,750,750,1
10239,Elementary,500-999,750,350,0.4666666666666667
10240,Middle,<300,150,350,2.3333333333333335
10241,Middle,500-999,750,750,1
10242,Elementary,1000+,1200,1200,1
10243,High/Other,500-999,750,750,1
10244,Elementary,<300,150,100,0.6666666666666666
10245,Elementary,<300,150,100,0.6666666666666666
10246,Elementary,300-499,400,350,0.875
10247,Elementary,500-999,750,750,1
10248,High/Other,1000+,1200,1200,1
10249,High/Other,<300,150,100,0.6666666666666666
10250,Middle,500-999,750,750,1
10251,Middle,<300,150,350,2.3333333333333335
10252,Elementary,300-499,400,750,1.875
10253,High/Other,300-499,400,350,0.875
