IDNUMBER,INSTRUCTIONAL_LEVEL,ENROLLMENT_LEVEL,APPROX_ENROLLMENT,APPROX_TOTAL_COMPUTERS,COMPUTERS_PER_STUDENT
10583,High/Other,1000+,1200,1200,1
10584,Elementary,500-999,750,750,1
10585,Elementary,<300,150,100,0.6666666666666666
10586,High/Other,300-499,400,350,0.875
10587,Elementary,300-499,400,350,0.875
10588,High/Other,1000+,1200,1200,1
10589,High/Other,300-499,400,350,0.875
10590,Middle,500-999,750,750,1
10591,High/Other,1000+,1200,1200,1
10592,Elementary,500-999,750,350,0.4666666666666667
10593,High/Other,1000+,1200,1200,1
10594,Middle,500-999,750,750,1
10595,High/Other,1000+,1200,1200,1
10596,Middle,1000+,1200,1200,1
10597,Elementary,300-499,400,100,0.25
10598,Middle,1000+,1200,350,0.2916666666666667
10599,Middle,500-999,750,350,0.4666666666666667
10600,Middle,500-999,750,750,1
10601,Middle,500-999,750,750,1
10602,High/Other,500-999,750,750,1
10603,High/Other,300-499,400,350,0.875
10604,High/Other,<300,150,350,2.3333333333333335
10605,Elementary,500-999,750,1200,1.6
10606,High/Other,<300,150,350,2.3333333333333335
10607,Middle,1000+,1200,1200,1
10608,High/Other,1000+,1200,750,0.625
10609,Elementary,300-499,400,350,0.875
10610,Middle,500-999,750,750,1
10611,Elementary,500-999,750,750,1
10612,Middle,1000+,1200,1200,1
10613,Elementary,500-999,750,750,1
10614,High/Other,300-499,400,350,0.875
10615,Middle,1000+,1200,1200,1
10616,High/Other,500-999,750,750,1
10617,High/Other,1000+,1200,1200,1
10618,Elementary,500-999,750,350,0.4666666666666667
10619,Elementary,500-999,750,350,0.4666666666666667
10620,Middle,<300,150,100,0.6666666666666666
10621,High/Other,300-499,400,350,0.875
10622,Elementary,300-499,400,350,0.875
10623,High/Other,1000+,1200,1200,1
10624,Elementary,<300,150,100,0.6666666666666666
10625,Middle,1000+,1200,1200,1
10626,Elementary,300-499,400,750,1.875
10627,Elementary,500-999,750,750,1
10628,Middle,1000+,1200,750,0.625
10629,Elementary,500-999,750,750,1
10630,Elementary,500-999,750,750,1
10631,Middle,1000+,1200,1200,1
10632,Middle,500-999,750,750,1
10633,Middle,<300,150,350,2.3333333333333335
10634,Elementary,<300,150,100,0.6666666666666666
10635,High/Other,500-999,750,750,1
10636,Elementary,<300,150,350,2.3333333333333335
10637,Elementary,500-999,750,750,1
10638,Elementary,500-999,750,750,1
10639,High/Other,1000+,1200,1200,1
10640,Middle,<300,150,350,2.3333333333333335
10641,Elementary,500-999,750,350,0.4666666666666667
10642,Elementary,300-499,400,100,0.25
10643,High/Other,500-999,750,750,1
10644,Elementary,500-999,750,350,0.4666666666666667
10645,Middle,300-499,400,350,0.875
10646,Elementary,<300,150,350,2.3333333333333335
10647,Elementary,500-999,750,750,1
10648,Elementary,300-499,400,750,1.875
10649,Middle,1000+,1200,1200,1
10650,Middle,500-999,750,750,1
10651,High/Other,500-999,750,350,0.4666666666666667
10652,Middle,300-499,400,100,0.25
10653,High/Other,300-499,400,750,1.875
10654,High/Other,1000+,1200,1200,1
10655,Middle,500-999,750,350,0.4666666666666667
10656,High/Other,500-999,750,1200,1.6
10657,Middle,1000+,1200,750,0.625
10658,Middle,500-999,750,750,1
10659,Middle,<300,150,350,2.3333333333333335
10660,Middle,1000+,1200,1200,1
10661,Elementary,300-499,400,750,1.875
10662,Elementary,300-499,400,350,0.875
10663,High/Other,<300,150,350,2.3333333333333335
10664,Middle,500-999,750,750,1
10665,Elementary,1000+,1200,350,0.2916666666666667
10666,Elementary,500-999,750,750,1
10667,High/Other,1000+,1200,750,0.625
10668,High/Other,1000+,1200,1200,1
10669,Middle,500-999,750,1200,1.6
10670,High/Other,500-999,750,750,1
10671,Middle,300-499,400,350,0.875
10672,High/Other,1000+,1200,1200,1
10673,Middle,1000+,1200,1200,1
10674,High/Other,1000+,1200,1200,1
10675,High/Other,<300,150,100,0.6666666666666666
10676,Elementary,500-999,750,350,0.4666666666666667
10677,Elementary,500-999,750,350,0.4666666666666667
10678,Elementary,500-999,750,350,0.4666666666666667
10679,High/Other,500-999,750,350,0.4666666666666667
10680,High/Other,1000+,1200,1200,1
10681,Middle,300-499,400,350,0.875
10682,Elementary,<300,150,350,2.3333333333333335
10683,Middle,500-999,750,1200,1.6
10684,High/Other,500-999,750,750,1
10685,High/Other,300-499,400,350,0.875
10686,High/Other,<300,150,100,0.6666666666666666
10687,Elementary,500-999,750,750,1
10688,High/Other,1000+,1200,1200,1
10689,High/Other,1000+,1200,750,0.625
10690,Elementary,<300,150,350,2.3333333333333335
10691,Elementary,500-999,750,100,0.13333333333333333
10692,High/Other,<300,150,100,0.6666666666666666
10693,Elementary,500-999,750,750,1
10694,Middle,500-999,750,750,1
10695,High/Other,300-499,400,750,1.875
10696,Elementary,500-999,750,350,0.4666666666666667
10697,Elementary,<300,150,100,0.6666666666666666
10698,Elementary,500-999,750,350,0.4666666666666667
10699,High/Other,1000+,1200,1200,1
10700,Elementary,300-499,400,350,0.875
10701,Elementary,300-499,400,750,1.875
10702,Elementary,500-999,750,750,1
10703,Middle,300-499,400,350,0.875
10704,High/Other,1000+,1200,750,0.625
10705,Elementary,500-999,750,350,0.4666666666666667
10706,High/Other,<300,150,100,0.6666666666666666
10707,Middle,<300,150,100,0.6666666666666666
10708,Elementary,<300,150,100,0.6666666666666666
10709,High/Other,500-999,750,750,1
10710,High/Other,1000+,1200,1200,1
10711,Middle,300-499,400,750,1.875
10712,High/Other,500-999,750,750,1
10713,High/Other,<300,150,100,0.6666666666666666
10714,Middle,1000+,1200,1200,1
10715,Elementary,300-499,400,750,1.875
10716,Middle,500-999,750,750,1
10717,High/Other,1000+,1200,1200,1
10718,High/Other,1000+,1200,1200,1
10719,Elementary,300-499,400,100,0.25
10720,High/Other,500-999,750,1200,1.6
10721,Middle,500-999,750,750,1
10722,Middle,300-499,400,750,1.875
10723,Middle,300-499,400,350,0.875
10724,High/Other,500-999,750,750,1
10725,Elementary,300-499,400,350,0.875
10726,Middle,500-999,750,350,0.4666666666666667
10727,Middle,500-999,750,750,1
10728,Elementary,<300,150,100,0.6666666666666666
10729,High/Other,500-999,750,1200,1.6
10730,High/Other,500-999,750,350,0.4666666666666667
10731,High/Other,300-499,400,750,1.875
10732,Elementary,300-499,400,350,0.875
10733,High/Other,300-499,400,350,0.875
10734,Middle,<300,150,100,0.6666666666666666
10735,Elementary,500-999,750,350,0.4666666666666667
10736,Middle,1000+,1200,1200,1
10737,Elementary,<300,150,350,2.3333333333333335
10738,High/Other,1000+,1200,1200,1
10739,High/Other,1000+,1200,1200,1
10740,Middle,500-999,750,750,1
10741,High/Other,1000+,1200,1200,1
10742,Elementary,500-999,750,750,1
10743,High/Other,500-999,750,750,1
10744,Middle,500-999,750,750,1
10745,Elementary,300-499,400,100,0.25
10746,Elementary,500-999,750,750,1
10747,Middle,500-999,750,750,1
10748,Elementary,500-999,750,350,0.4666666666666667
10749,Middle,300-499,400,750,1.875
10750,Middle,500-999,750,750,1
10751,Elementary,500-999,750,350,0.4666666666666667
10752,High/Other,300-499,400,750,1.875
10753,Elementary,500-999,750,750,1
10754,Middle,<300,150,350,2.3333333333333335
10755,High/Other,300-499,400,750,1.875
